frame	subF	slot	rnti	firstSym	numSym	type	tddMode	retxNum	ccId
5	8	1	0	13	1	2	2	0	0
5	8	2	0	13	1	2	2	0	0
5	8	3	0	13	1	2	2	0	0
5	9	0	0	13	1	2	2	0	0
5	9	1	0	13	1	2	2	0	0
5	9	2	0	13	1	2	2	0	0
5	9	3	0	13	1	2	2	0	0
6	0	0	0	13	1	2	2	0	0
6	0	1	0	13	1	2	2	0	0
6	0	2	0	13	1	2	2	0	0
6	0	3	0	13	1	2	2	0	0
6	1	0	0	13	1	2	2	0	0
6	1	1	0	13	1	2	2	0	0
6	1	2	0	13	1	2	2	0	0
6	1	3	0	13	1	2	2	0	0
6	2	0	0	13	1	2	2	0	0
6	2	1	0	13	1	2	2	0	0
6	2	2	0	13	1	2	2	0	0
6	2	3	0	13	1	2	2	0	0
6	3	0	0	13	1	2	2	0	0
6	3	1	0	13	1	2	2	0	0
6	3	2	0	13	1	2	2	0	0
6	3	3	0	13	1	2	2	0	0
6	4	0	0	13	1	2	2	0	0
6	4	1	0	13	1	2	2	0	0
6	4	2	0	13	1	2	2	0	0
6	4	3	0	13	1	2	2	0	0
6	5	0	0	13	1	2	2	0	0
6	5	1	0	13	1	2	2	0	0
6	5	2	0	13	1	2	2	0	0
6	5	3	0	13	1	2	2	0	0
6	6	0	0	13	1	2	2	0	0
6	6	1	0	13	1	2	2	0	0
6	6	2	0	13	1	2	2	0	0
6	6	3	0	13	1	2	2	0	0
6	7	0	0	13	1	2	2	0	0
6	7	1	0	13	1	2	2	0	0
6	7	2	0	13	1	2	2	0	0
6	7	3	0	13	1	2	2	0	0
6	8	0	0	13	1	2	2	0	0
6	8	1	0	13	1	2	2	0	0
6	8	2	0	13	1	2	2	0	0
6	8	3	0	13	1	2	2	0	0
6	9	0	0	13	1	2	2	0	0
6	9	1	0	13	1	2	2	0	0
6	9	2	0	13	1	2	2	0	0
6	9	3	0	13	1	2	2	0	0
7	0	0	0	13	1	2	2	0	0
7	0	1	0	13	1	2	2	0	0
7	0	2	0	13	1	2	2	0	0
7	0	3	0	13	1	2	2	0	0
7	1	0	0	13	1	2	2	0	0
7	1	1	0	13	1	2	2	0	0
7	1	2	0	13	1	2	2	0	0
7	1	3	0	13	1	2	2	0	0
7	2	0	0	13	1	2	2	0	0
7	2	1	0	13	1	2	2	0	0
7	2	2	0	13	1	2	2	0	0
7	2	3	0	13	1	2	2	0	0
7	3	0	0	13	1	2	2	0	0
7	3	1	0	13	1	2	2	0	0
7	3	2	0	13	1	2	2	0	0
